POI_Name,Location_Type,Store_Lat,Store_Lng,Vicinity
Piece of Cake Desserts,POI,33.380445,-111.802765,"1275 East Baseline Road #116, Gilbert"
Village Inn,POI,33.380445,-111.802765,"1859 South Stapley Drive #107, Mesa"
Walmart Pharmacy,POI,33.380445,-111.802765,"1955 South Stapley Drive, Mesa"
Walmart Pharmacy,POI,33.380445,-111.802765,"1955 South Stapley Drive, Mesa"
First Convenience Bank,POI,33.380445,-111.802765,"1955 South Stapley Drive, Mesa"
Bank of America Financial Center,POI,33.380445,-111.802765,"1952 South Stapley Drive, Mesa"
First Convenience Bank,POI,33.380445,-111.802765,"1955 South Stapley Drive, Mesa"
Cardtronics ATM,POI,33.380445,-111.802765,"1945 South Stapley Drive, Mesa"
Cardtronics ATM,POI,33.380445,-111.802765,"1850 South Stapley Drive, Mesa"
ATM (Bank of America),POI,33.380445,-111.802765,"1952 South Stapley Drive, Mesa"
"Automated Financial, LLC",POI,33.380445,-111.802765,"1650 South Stapley Drive, Mesa"
Kahuna Business Group,POI,33.380445,-111.802765,"1307 East Baseline Road, Gilbert"
Community Merchant Services,POI,33.380445,-111.802765,"1307 East Baseline Road, Gilbert"
Circle K,POI,33.380445,-111.802765,"1850 South Stapley Drive, Mesa"
Chili's Grill & Bar,POI,33.380445,-111.802765,"1637 South Stapley Drive, Mesa"
Beer Research Institute,POI,33.380445,-111.802765,"1641 South Stapley Drive, Mesa"
The Hub Grill and Bar,POI,33.380445,-111.802765,"1860 South Stapley Drive, Mesa"
Olive Garden,POI,33.3078755,-111.9016321,"3430 West Chandler Boulevard, Chandler"
Firebirds Wood Fired Grill,POI,33.3078755,-111.9016321,"3435 West Chandler Boulevard, Chandler"
Abuelo’s Mexican Restaurant - Chandler,POI,33.3078755,-111.9016321,"3440 West Chandler Boulevard, Chandler"
P.F. Chang's,POI,33.3078755,-111.9016321,"3255 West Chandler Boulevard, Chandler"
